id,speed
0,49.001003
1,48.22391
2,35.85456
3,27.066807
4,37.47685
5,27.54848
6,20.185991
7,51.535065
8,49.81139
9,30.694084
10,26.451424
11,20.058584
12,21.603035
13,21.27012
14,26.52023
15,40.02406
16,41.696884
17,46.19892
18,49.312645
19,49.468452
20,48.42836
21,45.892445
22,18.951365
23,24.623783
24,25.564127
25,19.447338
26,21.111269
27,19.61063
28,15.770514
29,13.086594
30,23.627676
31,45.24798
32,49.220486
33,29.48968
34,21.58906
35,24.271515
36,20.763508
37,21.673723
38,44.9512
39,37.910904
40,41.685413
41,47.998344
42,48.810482
43,45.1337
44,19.016119
45,18.580568
46,18.540295
47,12.2837105
48,44.904064
49,46.402973
50,46.39785
51,24.711142
52,22.411755
53,21.135187
54,16.647345
55,19.423244
56,15.922604
57,16.693565
58,31.037933
59,32.044098
60,40.11096
61,40.511578
62,40.03891
63,41.560314
64,45.56549
65,47.14783
66,46.52192
67,45.349724
68,43.76962
69,27.506298
70,23.628439
71,20.11921
72,19.256546
73,20.274134
74,17.193377
75,10.274301
76,43.89031
77,38.814754
78,42.257076
79,49.030136
80,14.732017
81,17.167547
82,23.812624
83,17.635242
84,18.168125
85,13.513941
86,24.112703
87,37.950157
88,44.349796
89,38.64937
90,49.064342
91,47.668404
92,47.199306
93,46.43853
94,27.647919
95,15.212568
96,22.047531
97,12.191048
98,10.469589
99,21.929962
100,40.25661
101,47.132675
102,14.654308
103,18.768454
104,16.471588
105,44.394047
106,36.97625
107,47.36982
108,43.51647
109,16.237358
110,10.554368
111,10.078278
112,21.620722
113,35.14073
114,37.43414
115,48.182457
116,48.73562
117,38.17647
118,23.026186
119,19.552185
120,22.89906
121,19.054531
122,33.134666
123,47.398796
124,47.088413
125,39.473793
126,40.01613
127,37.63685
128,42.82677
129,37.265263
130,50.232265
131,48.95218
132,48.11656
133,24.663855
134,21.060001
135,21.213072
136,38.682068
137,46.14084
138,49.559624
139,48.45119
140,47.34484
141,45.488476
142,27.935564
143,15.673481
144,21.51232
145,16.776716
146,20.853226
147,47.085598
148,48.00855
149,46.13423
150,46.316467
151,17.732595
152,18.730927
153,18.440231
154,9.270378
155,22.827414
156,36.02526
157,43.82074
158,38.650665
159,42.623062
160,49.018036
161,50.083282
162,48.776905
163,48.737007
164,45.54805
165,30.291876
166,15.574611
167,21.764444
168,19.680212
169,19.498186
170,13.58886
171,11.815259
